Epoch,Train_Loss,Train_Accuracy,Train_Dice,Train_Precision,Train_Recall,Train_F1,Train_IoU,Val_Loss,Val_Accuracy,Val_Dice,Val_Precision,Val_Recall,Val_F1,Val_IoU
70,0.1938,0.9826,0.8062,0.8436,0.7965,0.8153,0.7123,0.2810,0.9702,0.7190,0.8338,0.6836,0.7266,0.6161
71,0.1881,0.9826,0.8119,0.8379,0.8140,0.8219,0.7181,0.2846,0.9700,0.7154,0.8433,0.6694,0.7224,0.6109
72,0.1876,0.9822,0.8124,0.8387,0.8093,0.8216,0.7158,0.2863,0.9703,0.7137,0.8552,0.6616,0.7202,0.6093
73,0.2096,0.9817,0.7904,0.8169,0.8029,0.7990,0.6937,0.2814,0.9675,0.7186,0.7930,0.6935,0.7259,0.6096
74,0.2005,0.9821,0.7995,0.8201,0.8008,0.8075,0.7043,0.2836,0.9705,0.7164,0.8489,0.6673,0.7235,0.6126
75,0.2070,0.9824,0.7930,0.8277,0.7836,0.8028,0.6963,0.2848,0.9705,0.7152,0.8526,0.6677,0.7222,0.6118
76,0.2109,0.9822,0.7891,0.8089,0.7944,0.7985,0.6924,0.2827,0.9702,0.7173,0.8402,0.6761,0.7249,0.6139
77,0.1990,0.9816,0.8010,0.8233,0.8024,0.8100,0.7054,0.2840,0.9704,0.7160,0.8488,0.6744,0.7232,0.6134
78,0.2147,0.9817,0.7853,0.8096,0.7832,0.7940,0.6877,0.2865,0.9705,0.7135,0.8545,0.6630,0.7206,0.6104
79,0.2056,0.9817,0.7944,0.8186,0.7937,0.8033,0.6953,0.2917,0.9703,0.7083,0.8704,0.6557,0.7151,0.6054
80,0.1701,0.9822,0.8299,0.8596,0.8207,0.8383,0.7349,0.2906,0.9705,0.7094,0.8689,0.6571,0.7168,0.6072
81,0.2245,0.9817,0.7755,0.7967,0.7767,0.7838,0.6802,0.2806,0.9701,0.7194,0.8318,0.6829,0.7269,0.6160
82,0.1863,0.9820,0.8137,0.8431,0.8102,0.8220,0.7187,0.2793,0.9702,0.7207,0.8274,0.6820,0.7280,0.6168
83,0.2295,0.9817,0.7705,0.7910,0.7759,0.7799,0.6723,0.2828,0.9698,0.7172,0.8333,0.6810,0.7245,0.6135
84,0.2070,0.9813,0.7930,0.8158,0.7977,0.8015,0.6968,0.2804,0.9689,0.7196,0.8111,0.6942,0.7271,0.6143
85,0.2072,0.9820,0.7928,0.8198,0.7903,0.8018,0.6902,0.2895,0.9703,0.7105,0.8657,0.6569,0.7172,0.6067
86,0.2063,0.9824,0.7937,0.8181,0.7920,0.8029,0.6957,0.2908,0.9704,0.7092,0.8694,0.6572,0.7162,0.6066
87,0.2554,0.9809,0.7446,0.7625,0.7551,0.7551,0.6405,0.2858,0.9703,0.7142,0.8538,0.6650,0.7211,0.6104
88,0.2070,0.9824,0.7930,0.8134,0.7944,0.8019,0.6955,0.2811,0.9699,0.7189,0.8310,0.6845,0.7267,0.6155
89,0.2374,0.9805,0.7626,0.7857,0.7654,0.7713,0.6584,0.3024,0.9701,0.6976,0.9000,0.6320,0.7042,0.5947
90,0.2104,0.9818,0.7896,0.8132,0.7920,0.7987,0.6887,0.2894,0.9704,0.7106,0.8631,0.6574,0.7175,0.6075
91,0.2159,0.9820,0.7841,0.8141,0.7807,0.7931,0.6854,0.2893,0.9705,0.7107,0.8647,0.6637,0.7182,0.6090
92,0.2271,0.9820,0.7729,0.7980,0.7773,0.7824,0.6743,0.2881,0.9705,0.7119,0.8642,0.6604,0.7187,0.6087
93,0.1778,0.9823,0.8222,0.8449,0.8236,0.8299,0.7281,0.2854,0.9704,0.7146,0.8512,0.6682,0.7217,0.6115
94,0.2201,0.9821,0.7799,0.8148,0.7714,0.7883,0.6793,0.2878,0.9706,0.7122,0.8651,0.6589,0.7190,0.6090
95,0.2078,0.9809,0.7922,0.8195,0.7974,0.8013,0.6937,0.2880,0.9705,0.7120,0.8628,0.6561,0.7189,0.6084
96,0.2012,0.9820,0.7988,0.8235,0.7966,0.8075,0.7001,0.2846,0.9703,0.7154,0.8470,0.6684,0.7227,0.6117
97,0.2180,0.9816,0.7820,0.8092,0.7797,0.7910,0.6858,0.2828,0.9701,0.7172,0.8362,0.6717,0.7241,0.6125
98,0.2200,0.9820,0.7800,0.8038,0.7812,0.7892,0.6813,0.2846,0.9702,0.7154,0.8441,0.6681,0.7227,0.6114
99,0.1909,0.9817,0.8091,0.8443,0.7974,0.8177,0.7096,0.3150,0.9693,0.6850,0.9198,0.6082,0.6912,0.5807
100,0.2291,0.9818,0.7709,0.7936,0.7766,0.7796,0.6748,0.2828,0.9703,0.7172,0.8420,0.6745,0.7241,0.6135
